Выборы Президента Российской Федерации																																																																	
Дата голосования: 18.03.2018																																																																	
																																																																	
"Наименование Избирательной комиссии:    Новосибирск, Советская"																																																																	
																																																																	
Сводная таблица итогов голосования																																																																	
																																																																	
	Число участковых избирательных комиссий	54																																																															
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	54																																																															
																																																																	
		Сумма	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966	УИК №1967	УИК №1968	УИК №1969	УИК №1970	УИК №1971	УИК №1972	УИК №1973	УИК №1974	УИК №1975	УИК №1976	УИК №1977	УИК №1978	УИК №1979	УИК №1980	УИК №2040	УИК №2041									
1	"Число избирателей, включенных в список избирателей"	102732	1655	2161	1920	2133	2127	1732	2214	1723	1919	2116	1988	2328	1777	1322	1532	2134	1858	2011	1890	1811	1891	1895	2122	2152	1302	2190	2106	2519	2748	1727	1840	2632	2062	2537	1709	2490	1892	1836	1467	1873	1871	1818	1974	1839	1841	1428	1965	1929	2024	2402	2221	1602	158	319									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	87400	1500	2000	1500	2000	2000	1500	2000	1500	1500	2000	1500	2000	1500	1000	1500	2000	1500	2000	1500	1850	1500	1500	2000	2000	1000	2000	2000	2000	2000	1500	1500	2000	2000	2000	1500	2000	1500	1500	1200	1500	1500	1500	1500	1500	1500	1300	1500	1500	1500	2000	2000	1500	200	350									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	60743	904	1172	1085	1229	1205	923	1103	982	955	1084	1193	1262	1120	798	830	1334	1185	1179	1192	1713	1212	1163	1389	1202	890	1317	1281	1519	1603	947	1082	1433	1284	1373	1018	1379	1210	1149	977	1145	1141	1093	1182	1126	1090	811	1088	1201	1229	1326	1163	998	90	184									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1500	5	36	15	22	30	52	21	18	24	20	16	35	18	14	46	20	13	29	17	81	17	35	20	47	3	30	27	32	34	11	9	33	30	31	15	18	12	30	15	14	23	25	43	42	25	27	15	24	15	51	30	8	62	115									
6	Число погашенных избирательных бюллетеней	25157	591	792	400	749	765	525	876	500	521	896	291	703	362	188	624	646	302	792	291	56	271	302	591	751	107	653	692	449	363	542	409	534	686	596	467	603	278	321	208	341	336	382	275	332	385	462	397	275	256	623	807	494	48	51									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1500	5	36	15	22	30	52	21	18	24	20	16	35	18	14	46	20	13	29	17	81	17	35	20	47	3	30	27	32	34	11	9	33	30	31	15	18	12	30	15	14	23	25	43	42	25	27	15	24	15	51	30	8	62	115									
8	Число бюллетеней в стационарных ящиках для голосования	60676	903	1172	1085	1229	1205	923	1103	982	955	1084	1193	1262	1120	797	830	1333	1183	1178	1191	1713	1209	1163	1388	1189	889	1316	1280	1519	1603	947	1082	1433	1275	1373	1017	1379	1207	1148	975	1144	1140	1092	1177	1125	1089	810	1082	1200	1229	1323	1161	997	90	184									
9	Число недействительных избирательных бюллетеней	891	6	14	3	18	17	11	14	4	10	7	14	22	13	12	5	18	20	16	13	15	60	28	31	21	20	19	17	17	65	22	10	16	12	28	9	13	13	17	10	20	17	13	21	15	20	12	17	14	14	6	21	14	1	6									
10	Число действительных избирательных бюллетеней	61285	902	1194	1097	1233	1218	964	1110	996	969	1097	1195	1275	1125	799	871	1335	1176	1191	1195	1779	1166	1170	1377	1215	872	1327	1290	1534	1572	936	1081	1450	1293	1376	1023	1384	1206	1161	980	1138	1146	1104	1199	1152	1094	825	1080	1210	1230	1368	1170	991	151	293									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
