Выборы Президента Российской Федерации																																																																																																																																																																																																																																																
Дата голосования: 18.03.2018																																																																																																																																																																																																																																																
																																																																																																																																																																																																																																																
Наименование Избирательной комиссии:    Мурманская																																																																																																																																																																																																																																																
																																																																																																																																																																																																																																																
Сводная таблица итогов голосования																																																																																																																																																																																																																																																
																																																																																																																																																																																																																																																
	Число участковых избирательных комиссий	304																																																																																																																																																																																																																																														
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	304																																																																																																																																																																																																																																														
																																																																																																																																																																																																																																																
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №438	УИК №439	УИК №440	УИК №441	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586									
1	"Число избирателей, включенных в список избирателей"	237854	1450	1170	2032	1511	1748	2002	2015	1862	1857	1589	1422	1876	1829	1836	1911	1894	1750	1929	1755	1404	2124	1874	2000	1862	2202	1927	1694	1990	1628	1848	1501	1588	1551	1551	1348	1244	1579	1642	1632	1415	1870	1287	1176	1862	1463	1575	1518	1828	1738	1731	941	1496	1574	1994	2062	2029	1974	1851	1901	1811	1983	1118	1659	1706	1772	1856	1580	1673	1613	1720	1430	1288	1454	1392	1598	1359	1235	1982	1563	1695	1575	1242	874	717	1737	1624	1732	1606	1806	1716	1485	1274	1941	1764	1787	1401	1553	1597	1561	1985	1680	1852	1592	1828	1937	2042	1867	1713	1658	2001	2234	2053	1248	1728	1853	1702	1772	1458	2024	2009	1689	1862	1892	1907	1950	1658	1706	1940	1950	1920	2028	1177	1839	1429	1445	1507	807	103	155	146	268	191	529	240	145	508	223	68	28	22	52	26	19	34	4	9	96	97	99	30	28	27	26	27	27	24	31	31	28	33	25	19	33	72	64	62	25	21	23	36	26	27	27	18	40	40	11	13	13	43	32	32	30	22	40	15	19	21	19	21	35	32	21	20	19	19	21	19	20	11	26	23	36	36	20	28	18	19	25	13	13	35	19	19	35	54	38	88	78									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	229876	1600	1200	1750	2000	1700	1850	1850	1750	1750	1500	1300	1750	1700	1700	1900	1800	1750	1800	1650	1350	2000	1750	1850	1900	1900	1900	1550	1900	1650	1750	1400	1600	1450	1450	1400	1100	1550	1600	1550	1350	1750	1150	1200	1700	1300	1450	1350	1750	1700	1650	1000	1400	1600	1850	1900	1950	1850	1800	1750	1800	1850	1150	1550	1550	1650	1850	1550	1650	1600	1600	1400	1250	1400	1300	1500	1300	1150	1750	1600	1500	1500	1200	900	1100	1850	1550	1700	1650	1700	1750	1450	1250	1750	1800	1600	1400	1550	1500	1600	1850	1750	1750	1500	1800	1850	1750	1700	1850	1750	1950	2200	1900	1750	1600	1700	1650	1650	1450	1900	1700	1600	1800	1800	1800	1750	1750	1750	1950	1850	1850	1900	1200	1700	1350	1200	1350	750	150	200	200	300	300	600	250	200	800	300	100	28	25	55	26	19	34	4	9	96	100	99	33	31	27	26	27	27	24	31	31	28	34	25	19	33	75	64	62	25	21	24	36	30	27	28	18	40	40	11	13	13	43	32	32	31	23	40	20	22	21	19	21	35	32	21	20	19	20	21	19	20	14	26	23	36	36	20	28	18	19	25	15	13	35	19	19	35	54	38	90	80									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	150636	1003	690	1314	1347	1215	1311	1268	1201	1214	1014	826	1134	1120	984	1125	1050	1219	1184	980	839	1290	1049	1185	1305	1346	1246	987	1246	970	1061	674	894	749	817	863	738	956	984	1040	827	1258	808	811	1514	917	1043	989	1237	986	1010	590	979	1031	1209	1258	1287	1212	1120	1195	1220	1145	744	992	1061	1067	1215	987	1105	1045	998	952	852	965	812	1013	857	643	1327	832	920	758	835	352	403	963	876	1089	922	1160	1161	907	796	1172	1159	1137	902	950	1082	964	1298	1057	1089	961	1185	1174	1228	1168	1186	1053	1340	1217	1320	1233	1109	1178	1162	1150	935	1224	1241	998	1108	1150	1224	1234	1138	1082	1313	1338	1337	1260	687	1109	901	979	967	449	94	122	114	173	156	353	160	119	357	222	68	27	22	52	26	19	34	4	9	95	97	99	30	26	27	24	27	27	24	30	31	28	30	25	19	33	72	64	62	25	21	23	36	23	27	27	18	40	40	11	13	13	43	32	32	29	22	37	15	19	20	19	19	35	32	21	20	19	19	17	19	20	11	26	23	35	36	20	25	18	19	25	13	13	35	19	18	35	54	38	83	56									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3584	17	13	23	13	19	18	19	9	21	20	14	19	17	34	33	29	16	21	17	24	30	30	26	26	26	21	33	40	26	22	28	26	18	23	31	13	3	23	19	16	20	18	11	5	31	23	26	25	20	19	13	19	13	7	18	5	21	17	17	16	36	20	22	24	44	33	16	16	36	35	17	19	15	29	123	27	22	15	32	17	32	13	8	3	29	21	32	11	9	12	7	25	26	37	30	34	20	22	27	18	24	17	25	38	22	32	19	30	24	35	20	35	15	29	18	13	22	17	21	28	12	21	26	35	31	33	16	16	23	30	29	21	8	12	14	9	15	0	19	20	46	35	152	66	26	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	75654	580	497	413	640	466	521	563	540	515	466	460	597	563	682	742	721	515	595	653	487	680	671	639	569	528	633	530	614	654	667	698	680	683	610	506	349	591	593	491	507	472	324	378	180	352	384	335	488	694	621	397	402	556	634	624	658	617	663	538	564	669	386	536	465	539	602	547	529	519	567	431	379	420	459	364	416	485	408	736	563	709	352	540	694	858	653	579	717	531	577	536	429	552	604	433	464	580	396	609	534	669	644	514	577	654	490	513	634	673	575	963	545	502	462	504	475	478	498	655	431	590	671	624	541	485	579	652	621	489	483	611	492	583	437	207	374	286	56	59	66	81	109	95	24	55	292	78	32	1	3	3	0	0	0	0	0	1	3	0	3	5	0	2	0	0	0	1	0	0	4	0	0	0	3	0	0	0	0	1	0	7	0	1	0	0	0	0	0	0	0	0	0	2	1	3	5	3	1	0	2	0	0	0	0	0	1	4	0	0	3	0	0	1	0	0	3	0	0	0	2	0	0	0	1	0	0	0	7	24									
